playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper,foo
"2540175","null","LeVeon Bell","RB","PIT","RB","PIT","119.5192","244.8424","null","2","1","1","null","6.3415","3.5817","2.5817","53","272.7073","206.3246","9.0307","null",
"925","null","Jamaal Charles","RB","KC","RB","KC","114.6615","239.9847","null","3","2","2","null","5.0842","4.0967","2.0967","58","259.24","219.0879","6.0468","null",
"2540168","null","Eddie Lacy","RB","GB","RB","GB","111.6937","237.0169","null","4","3","3","null","5.819","3.6183","0.6183","56","243.8738","217.1326","7.2548","null",
"2507164","null","Adrian Peterson","RB","MIN","RB","MIN","107.4609","232.7841","null","1","4","4","null","8.9155","3.8033","-0.1967","56","249.6058","214.1508","4.932","null",
"2495663","null","Marshawn Lynch","RB","SEA","RB","SEA","104.2885","229.6117","null","5","5","5","null","11.9532","6.2567","1.2567","55","239.0557","216.4304","4.2446","null",
"2508061","null","Antonio Brown","WR","PIT","WR","PIT","101.3509","223.8273","null","6","6","1","null","12.6483","7.5483","1.5483","55","239.7893","207.7987","5.3513","null",
"2540269","null","C.J. Anderson","RB","DEN","RB","DEN","92.8024","218.1256","null","9","7","6","null","5.1765","13.6167","6.6167","36","237.8291","194.4647","5.4315","null",
"234","null","Matt Forte","RB","CHI","RB","CHI","91.8681","217.1913","null","14","8","7","null","8.7949","11.59","3.59","47","228.7251","196.9149","5.4474","null",
"497328","null","Demaryius Thomas","WR","DEN","WR","DEN","91.3565","213.8329","null","10","9","2","null","5.4157","13.4483","4.4483","45","223.4892","193.6689","5.5737","null",
"2533031","null","Andrew Luck","QB","IND","QB","IND","88.597","413.4878","null","21","10","1","null","23.1154","12.91","2.91","45","428.7906","386.7117","4.5276","null",
"497278","null","Dez Bryant","WR","DAL","WR","DAL","86.0487","208.5251","null","7","11","3","null","2.7869","11.1883","0.1883","52","220.5189","188.0595","5.4309","null",
"2543496","null","Odell Beckham","WR","NYG","WR","NYG","85.8328","208.3092","null","12","12","4","null","5.3031","14.0383","2.0383","52","229.5549","172.911","8.8787","null",
"2506363","null","Aaron Rodgers","QB","GB","QB","GB","84.8889","409.7798","null","23","13","2","null","44.378","12.5467","-0.4533","38","431.9727","376.4112","4.8211","null",
"2495207","null","DeMarco Murray","RB","PHI","RB","PHI","83.3835","208.7067","null","16","14","8","null","3.0238","14.5517","0.5517","50","226.497","193.4017","5.9087","null",
"79607","null","LeSean McCoy","RB","BUF","RB","BUF","82.763","208.0862","null","18","15","9","null","13.2529","13.9933","-1.0067","44","220.6898","189.1466","4.0059","null",
"2495647","null","Calvin Johnson","WR","DET","WR","DET","80.6908","203.1672","null","13","16","5","null","2.6369","16.8117","0.8117","38","223.4953","182.7141","7.3093","null",
"2495454","null","Julio Jones","WR","ATL","WR","ATL","80.3686","202.845","null","11","17","6","null","12.8284","15.535","-1.465","44","228.1666","181.7227","8.2345","null",
"2543603","null","Jeremy Hill","RB","CIN","RB","CIN","77.9566","203.2798","null","15","18","10","null","21.0555","16.05","-1.95","38","217.2281","186.748","4.5204","null",
"1032","null","Jordy Nelson","WR","GB","WR","GB","75.7393","198.2157","null","17","19","7","null","16.9535","19.3933","0.3933","38","215.1835","172.0094","7.2711","null",
"497240","null","Rob Gronkowski","TE","NE","TE","NE","73.418","176.9237","null","8","20","1","null","45.5408","13.55","-6.45","54","205.3702","142.0111","6.9945","null",
"927","null","Justin Forsett","RB","BAL","RB","BAL","61.0635","186.3867","null","20","21","11","null","10.0582","29","8","30","199.9942","169.5592","4.5592","null",
"2495450","null","A.J. Green","WR","CIN","WR","CIN","59.341","181.8174","null","19","22","8","null","1.9437","22.265","0.265","36","190.3919","161.1081","7.6528","null",
"2495448","null","Randall Cobb","WR","GB","WR","GB","58.2307","180.7071","null","24","23","9","null","3.6774","24.6767","1.6767","36","190.6385","169.8382","5.9001","null",
"2533039","null","Alshon Jeffery","WR","CHI","WR","CHI","56.5639","179.0403","null","22","24","10","null","7.0642","26.21","2.21","36","197.7602","161.2392","5.6063","null",
"2533034","null","Lamar Miller","RB","MIA","RB","MIA","52.7386","178.0618","null","27","25","12","null","3.733","34.9083","9.9083","23","189.7564","151.4024","4.0899","null",
"2543468","null","Mike Evans","WR","TB","WR","TB","52.5426","175.019","null","25","26","11","null","9.1366","28.9217","2.9217","36","190.5794","162.3825","5.4397","null",
"2533457","null","Alfred Morris","RB","WAS","RB","WAS","49.272","174.5952","null","31","27","13","null","1.4734","35.07","8.07","35","187.0334","155.4427","4.3139","null",
"2543743","null","Carlos Hyde","RB","SF","RB","SF","48.7392","174.0624","null","39","28","14","null","2.0669","40.4583","12.4583","36","195.9566","151.1003","5.595","null",
"2495466","null","Mark Ingram","RB","NO","RB","NO","46.858","172.1812","null","29","29","15","null","0.6125","34.695","5.695","29","194.3537","125.6076","5.1656","null",
"2552469","null","Melvin Gordon","RB","SD","RB","SD","46.4867","171.8099","null","32","30","16","null","4.6398","33.7933","3.7933","36","185.3171","152.9159","4.3177","null",
"2532865","null","T.Y. Hilton","WR","IND","WR","IND","46.4569","168.9333","null","28","31","12","null","8.4802","28.1567","-2.8433","35","185.9423","148.6361","6.0004","null",
"2501863","null","Peyton Manning","QB","DEN","QB","DEN","46.0741","370.965","null","42","32","3","null","13.307","34.4133","2.4133","23","389.197","355.3375","2.9363","null",
"2506404","null","Frank Gore","RB","IND","RB","IND","46.0043","171.3275","null","26","33","17","null","8.4385","35.94","2.94","33","191.0415","146.6319","3.844","null",
"497322","null","Emmanuel Sanders","WR","DEN","WR","DEN","40.3552","162.8316","null","34","34","13","null","5.2142","34.96","0.96","30","180.7301","144.2218","6.3589","null",
