"","x"
"1","1: Ross selected Terrance Williams for 10"
"2","124: Toby selected Antonio Gates for 1"
"3","123: Brad selected Rueben Randle for 4"
"4","122: Matt selected Julian Edelman for 9"
"5","121: Billy selected Jeremy Maclin for 10"
"6","120: Keith selected Buffalo Bills for 1"
"7","119: Billy selected Dwayne Bowe for 4"
"8","118: Drew selected Percy Harvin for 23"
"9","117: Drew selected New England Patriots for 1"
"10","116: Milf selected Dan Carpenter for 1"
"11","115: Ross selected Maurice Jones-Drew for 7"
"12","114: Kevin selected Riley Cooper for 4"
"13","113: Toby selected Joe Flacco for 1"
"14","112: Ross selected Mike Wallace for 6"
"15","111: Tony selected Blair Walsh for 1"
"16","110: Ross selected Darren McFadden for 1"
"17","109: Shep selected St. Louis Rams for 2"
"18","108: Billy selected Knowshon Moreno for 2"
"19","107: Tony selected Russell Wilson for 5"
"20","106: Matt selected Anquan Boldin for 3"
"21","105: Keith selected Ben Roethlisberger for 5"
"22","104: Tony selected Shonn Greene for 5"
"23","103: Tony selected Michael Crabtree for 12"
"24","102: Ross selected Cecil Shorts for 4"
"25","101: Billy selected Andy Dalton for 5"
"26","100: James selected Greg Olsen for 7"
"27","99: Kevin selected Fred Jackson for 8"
"28","98: Tony selected Lamar Miller for 6"
"29","97: Ross selected Denver Broncos for 3"
"30","96: Ross selected Emmanuel Sanders for 8"
"31","95: Toby selected Carlos Hyde for 6"
"32","94: Brad selected Jordan Cameron for 6"
"33","93: Milf selected Jason Witten for 8"
"34","92: Milf selected Shane Vereen for 14"
"35","91: Ross selected Kelvin Benjamin for 3"
"36","90: James selected Joique Bell for 13"
"37","89: Kevin selected Philip Rivers for 9"
"38","88: Brad selected Ryan Mathews for 21"
"39","87: Tony selected Cincinnati Bengals for 2"
"40","86: James selected Toby Gerhart for 25"
"41","85: Matt selected Kansas City Chiefs for 4"
"42","84: Ross selected Steven Jackson for 11"
"43","83: Milf selected Cordarrelle Patterson for 13"
"44","82: Milf selected Sammy Watkins for 12"
"45","81: Tony selected Tony Romo for 10"
"46","80: Shep selected Rashad Jennings for 13"
"47","79: James selected Arizona Cardinals for 2"
"48","78: Matt selected Matt Ryan for 12"
"49","77: Toby selected Larry Fitzgerald for 26"
"50","76: Toby selected Tom Brady for 13"
"51","75: Milf selected Torrey Smith for 10"
"52","74: Keith selected Justin Tucker for 1"
"53","73: Tony selected Michael Floyd for 15"
"54","72: Drew selected Ben Tate for 22"
"55","71: Matt selected Wes Welker for 20"
"56","70: Toby selected Trent Richardson for 9"
"57","69: Billy selected Randall Cobb for 26"
"58","68: Kevin selected Stevan Ridley for 9"
"59","67: Drew selected Nick Foles for 10"
"60","66: Kevin selected Nick Novak for 1"
"61","65: Brad selected Antonio Brown for 31"
"62","64: Ross selected Andre Johnson for 21"
"63","63: Billy selected Chris Johnson for 9"
"64","62: Ross selected Kenny Britt for 1"
"65","61: James selected T.Y. Hilton for 13"
"66","60: James selected Andrew Luck for 16"
"67","59: Kevin selected Vernon Davis for 12"
"68","58: Billy selected Dennis Pitta for 5"
"69","57: Shep selected Ray Rice for 16"
"70","56: Brad selected Marques Colston for 7"
"71","55: Toby selected Frank Gore for 21"
"72","54: Toby selected San Francisco 49ers for 3"
"73","53: Milf selected Victor Cruz for 18"
"74","52: Ross selected Colin Kaepernick for 11"
"75","51: James selected Mason Crosby for 2"
"76","50: Toby selected Roddy White for 18"
"77","49: Drew selected Vincent Jackson for 22"
"78","48: Milf selected Matthew Stafford for 23"
"79","47: Matt selected Julius Thomas for 38"
"80","46: Toby selected Kenbrell Thompkins for 2"
"81","45: Toby selected Andre Ellington for 27"
"82","44: Drew selected DeSean Jackson for 16"
"83","43: Billy selected Sidney Rice for 1"
"84","42: Toby selected Adam Vinatieri for 1"
"85","41: Milf selected Pierre Garcon for 21"
"86","40: Toby selected Golden Tate for 10"
"87","39: Tony selected Dez Bryant for 40"
"88","38: Kevin selected Jordy Nelson for 35"
"89","37: Ross selected A.J. Green for 43"
"90","36: James selected Julio Jones for 39"
"91","35: Shep selected Demaryius Thomas for 44"
"92","34: Milf selected Bishop Sankey for 15"
"93","33: Kevin selected C.J. Spiller for 23"
"94","32: Shep selected Alshon Jeffery for 31"
"95","31: Ross selected Jay Cutler for 12"
"96","30: Shep selected Stephen Gostkowski for 2"
"97","29: Milf selected Rob Gronkowski for 26"
"98","28: Matt selected Zac Stacy for 37"
"99","27: Kevin selected Reggie Bush for 30"
"100","26: Keith selected Giovani Bernard for 36"
"101","25: Keith selected Brandon Marshall for 38"
"102","24: Toby selected Montee Ball for 44"
"103","23: Kevin selected Aaron Rodgers for 47"
"104","22: Billy selected Carolina Panthers for 3"
"105","21: Milf selected Keenan Allen for 20"
"106","20: Billy selected Cam Newton for 25"
"107","19: Tony selected Alfred Morris for 34"
"108","18: Drew selected Doug Martin for 38"
"109","17: Keith selected Jimmy Graham for 45"
"110","16: Billy selected Arian Foster for 46"
"111","15: Drew selected DeMarco Murray for 41"
"112","14: Keith selected Marshawn Lynch for 57"
"113","13: Matt selected Matt Forte for 61"
"114","12: Tony selected LeSean McCoy for 62"
"115","11: Billy selected Calvin Johnson for 52"
"116","10: Billy selected Steven Hauschka for 1"
"117","9: Shep selected Drew Brees for 46"
"118","8: Milf selected Seattle Seahawks for 7"
"119","7: Drew selected Le'Veon Bell for 37"
"120","6: Ross selected Matt Prater for 2"
"121","5: Milf selected Robert Griffin III for 10"
"122","4: Brad selected Jamaal Charles for 64"
"123","3: James selected Adrian Peterson for 65"
"124","2: Ross selected Eddie Lacy for 49"
"125","1: Brad selected Peyton Manning for 54"
"126","no players drafted yet"
