playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper,foo
"2540175","null","LeVeon Bell","RB","PIT","RB","PIT","113.2328","242.0067","null","2","1","1","null","4.392","3.695","2.695","52.5","272.6267","208.2545","9.4699","null",
"2540168","null","Eddie Lacy","RB","GB","RB","GB","109.3095","238.0833","null","4","2","2","null","1.7133","3.4733","1.4733","55.2","243.9723","222.473","7.5116","null",
"925","null","Jamaal Charles","RB","KC","RB","KC","108.3722","237.146","null","3","3","3","null","4.7365","4.4767","1.4767","55.3","255.4191","215.7445","6.2318","null",
"2507164","null","Adrian Peterson","RB","MIN","RB","MIN","106.8201","235.5939","null","1","4","4","null","11.6617","2.8117","-1.1883","57.4","249.7116","218.4062","5.1617","null",
"2508061","null","Antonio Brown","WR","PIT","WR","PIT","103.0978","223.6339","null","6","5","1","null","13.862","7.4033","2.4033","50.2","240.2993","207.5709","5.2652","null",
"2495663","null","Marshawn Lynch","RB","SEA","RB","SEA","100.4512","229.225","null","5","6","5","null","12.3816","5.3067","-0.6933","55.3","240.409","215.3144","4.4539","null",
"497328","null","Demaryius Thomas","WR","DEN","WR","DEN","91.3992","211.9353","null","11","7","2","null","5.4332","13.22","6.22","46.9","222.9591","194.9215","5.4815","null",
"2540269","null","C.J. Anderson","RB","DEN","RB","DEN","89.8656","218.6394","null","9","8","6","null","7.4235","12.0367","4.0367","45.1","237.0603","194.9112","5.7709","null",
"2533031","null","Andrew Luck","QB","IND","QB","IND","87.964","414.6533","null","20","9","1","null","30.405","11.24","2.24","39.5","430.0174","389.0131","4.9586","null",
"497278","null","Dez Bryant","WR","DAL","WR","DAL","87.0723","207.6084","null","7","10","3","null","3.3802","11.1133","1.1133","47.2","222.9567","184.0481","5.3589","null",
"234","null","Matt Forte","RB","CHI","RB","CHI","86.2735","215.0474","null","15","11","7","null","8.5472","11.81","0.81","47.7","228.7358","194.4347","5.7035","null",
"2543496","null","Odell Beckham","WR","NYG","WR","NYG","84.8598","205.3959","null","12","12","4","null","3.2039","14.325","2.325","40","225.4557","168.4564","8.8076","null",
"2495454","null","Julio Jones","WR","ATL","WR","ATL","82.5244","203.0605","null","10","13","5","null","7.3584","14.8033","1.8033","43.9","229.1959","172.2956","8.4095","null",
"2495647","null","Calvin Johnson","WR","DET","WR","DET","80.7875","201.3236","null","14","14","6","null","14.9343","16.3883","2.3883","43","222.9825","182.0613","7.3394","null",
"497240","null","Rob Gronkowski","TE","NE","TE","NE","79.3731","179.6383","null","8","15","1","null","46.747","13.47","-1.53","44.4","205.1223","143.4618","6.6037","null",
"2495207","null","DeMarco Murray","RB","PHI","RB","PHI","78.6107","207.3845","null","16","16","8","null","9.4536","13.1967","-2.8033","47","224.658","192.3084","6.1132","null",
"2543603","null","Jeremy Hill","RB","CIN","RB","CIN","76.8419","205.6158","null","13","17","9","null","16.3451","14.92","-2.08","39.8","218.4836","186.7807","4.8129","null",
"2506363","null","Aaron Rodgers","QB","GB","QB","GB","72.5856","399.2749","null","25","18","2","null","33.8508","12.9833","-5.0167","44.3","423.6084","359.975","5.1665","null",
"2495448","null","Randall Cobb","WR","GB","WR","GB","69.5445","190.0806","null","19","19","7","null","11.5204","21.93","2.93","38","204.6381","173.6714","5.4339","null",
"2495450","null","A.J. Green","WR","CIN","WR","CIN","62.1618","182.6979","null","17","20","8","null","8.8908","21.4883","1.4883","39.2","199.195","162.1432","7.6821","null",
"79607","null","LeSean McCoy","RB","BUF","RB","BUF","61.4721","190.246","null","18","21","10","null","6.0796","17.255","-3.745","44.4","212.0358","142.6023","4.895","null",
"927","null","Justin Forsett","RB","BAL","RB","BAL","59.5216","188.2954","null","22","22","11","null","11.6626","26.0817","4.0817","24.8","201.2742","170.4423","4.5578","null",
"2533039","null","Alshon Jeffery","WR","CHI","WR","CHI","53.8865","174.4226","null","21","23","9","null","3.3178","27.18","4.18","32.1","196.2966","149.0331","5.4592","null",
"2543468","null","Mike Evans","WR","TB","WR","TB","52.6556","173.1917","null","23","24","10","null","7.6119","30.1333","6.1333","28.2","190.1095","162.33","5.4113","null",
"2533034","null","Lamar Miller","RB","MIA","RB","MIA","51.2636","180.0374","null","24","25","12","null","7.4189","29.8717","4.8717","26.4","191.4095","151.3256","4.2797","null",
