"owner","slot","player","team","draftValue","position","vor","overallECR","overallRank","positionRank","risk","avgValue","ffaPoints","ffaCeiling","ffaFloor","playerName","espnPoints"
"Kevin","QB","DREWBREES","NO",22,"QB",30.7463,51,41,5,2.8588,21,357.436,383.093,315.896,"Drew Brees",365.9
"Kevin","RB1","LAMARMILLER","MIA",37,"RB",51.2636,24,25,12,4.2797,26.4,180.037,191.41,151.326,"Lamar Miller",192.5
"Kevin","RB2","JONATHANSTEWART","CAR",19,"RB",27.3657,37,42,20,6.467,16.7,156.14,169.966,125.99,"Jonathan Stewart",164.4
"Kevin","WR1","CALVINJOHNSON","DET",49,"WR",80.7875,14,14,6,7.3394,43,201.324,222.982,182.061,"Calvin Johnson",188
"Kevin","WR2","DEMARYIUSTHOMAS","DEN",53,"WR",91.3992,11,7,2,5.4815,46.9,211.935,222.959,194.922,"Demaryius Thomas",196
"Kevin","FLEX","RODDYWHITE","ATL",4,"WR",1.24,81,78,34,4.3805,4,121.776,132.899,106.757,"Roddy White",107.1
"Kevin","TE","DWAYNEALLEN","IND",2,"TE",-9.1303,118,101,10,4.4777,1.8,91.1349,99.6229,70.9134,"Dwayne Allen",89.5
"Kevin","DST","EAGLES","PHI",1,"DST",-24.0316,242,138,4,7.3892,1.7,122.947,128.143,110,"Eagles",114
"Kevin","K","DUSTINHOPKINS","NO",1,"K",-65.2826,288,282,30,5.1014,0,108.097,129.829,0,"Dustin Hopkins",123
"Kevin","BENCH1","TORREYSMITH","SF",3,"WR",1.7138,94,77,33,4.0548,3.1,122.25,136.69,91.7761,"Torrey Smith",118
"Kevin","BENCH2","KENDALLWRIGHT","TEN",4,"WR",-6.3818,105,96,41,4.1254,1.7,114.154,133.156,95.0093,"Kendall Wright",107
"Kevin","BENCH3","MARVINJONES","CIN",1,"WR",-35.5446,140,167,62,6.2246,1.3,84.9915,106.418,60.148,"Marvin Jones",76
"Kevin","BENCH4","CHRISJOHNSON","ARI",1,"RB",-78.1269,229,327,69,3.8936,0,50.647,75.5961,13.995,"Chris Johnson",35.1
"Kevin","BENCH5","TAVONAUSTIN","STL",1,"WR",-44.546,299,203,71,4.1259,0,75.9901,93.8263,51.9591,"Tavon Austin",66.3
"Kevin","BENCH6","KENNYBRITT","STL",1,"WR",-22.0138,164,130,56,3.1751,0,98.5223,119.621,85.8383,"Kenny Britt",88
