"owner","slot","position","player","points","pointSource"
"Kevin","QB","QB","DREWBREES",357.436,"FFA"
"Kevin","RB1","RB","LAMARMILLER",180.037,"FFA"
"Kevin","RB2","RB","JONATHANSTEWART",156.14,"FFA"
"Kevin","WR1","WR","DEMARYIUSTHOMAS",211.935,"FFA"
"Kevin","WR2","WR","CALVINJOHNSON",201.324,"FFA"
"Kevin","FLEX","WR","RODDYWHITE",121.776,"FFA"
"Kevin","TE","TE","DWAYNEALLEN",91.1349,"FFA"
"Kevin","DST","DST","EAGLES",122.947,"FFA"
"Kevin","K","K","DUSTINHOPKINS",108.097,"FFA"
"Matt","QB","QB","BENROETHLISBERGER",340.455,"FFA"
"Matt","RB1","RB","JUSTINFORSETT",188.295,"FFA"
"Matt","RB2","RB","CARLOSHYDE",170.827,"FFA"
"Matt","WR1","WR","RANDALLCOBB",190.081,"FFA"
"Matt","WR2","WR","AJGREEN",182.698,"FFA"
"Matt","FLEX","WR","JEREMYMACLIN",138.691,"FFA"
"Matt","TE","TE","DELANIEWALKER",97.7778,"FFA"
"Matt","DST","DST","DOLPHINS",109.658,"FFA"
"Matt","K","K","MASONCROSBY",146.362,"FFA"
"Brad","QB","QB","ANDREWLUCK",414.653,"FFA"
"Brad","RB1","RB","DEMARCOMURRAY",207.385,"FFA"
"Brad","RB2","RB","CHRISIVORY",139.055,"FFA"
"Brad","WR1","WR","EMMANUELSANDERS",162.142,"FFA"
"Brad","WR2","WR","KEENANALLEN",138.548,"FFA"
"Brad","FLEX","WR","ANDREJOHNSON",135.696,"FFA"
"Brad","TE","TE","JORDANREED",84.0246,"FFA"
"Brad","DST","DST","RAVENS",113.617,"FFA"
"Brad","K","K","CALEBSTURGIS",129.92,"FFA"
"Tony","QB","QB","CARSONPALMER",287.91,"FFA"
"Tony","RB1","RB","ADRIANPETERSON",235.594,"FFA"
"Tony","RB2","RB","AMEERABDULLAH",133.469,"FFA"
"Tony","WR1","WR","ALSHONJEFFERY",174.423,"FFA"
"Tony","WR2","WR","BRANDONMARSHALL",138.022,"FFA"
