playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper,foo
"2540175","null","LeVeon Bell","RB","PIT","RB","PIT","113.0399","242.1234","null","2","1","1","null","5.0548","3.7683","2.7683","54.3","272.849","209.87","11.4277","null",
"925","null","Jamaal Charles","RB","KC","RB","KC","108.1979","237.2814","null","3","2","2","null","1.473","4.35","2.35","54.3","254.665","226.64","6.3723","null",
"2507164","null","Adrian Peterson","RB","MIN","RB","MIN","107.7722","236.8558","null","1","3","3","null","4.8002","3.1917","0.1917","56.7","250.91","220.86","5.1844","null",
"2540168","null","Eddie Lacy","RB","GB","RB","GB","105.6776","234.7611","null","4","4","4","null","10.9418","3.74","-0.26","55","244.03","222.38","7.7753","null",
"2508061","null","Antonio Brown","WR","PIT","WR","PIT","101.0417","222.359","null","6","5","1","null","10.5","7.6833","2.6833","50.7","244.2438","209.77","5.4857","null",
"2495663","null","Marshawn Lynch","RB","SEA","RB","SEA","100.2665","229.35","null","5","6","5","null","12.4029","5.8283","-0.1717","54.3","240.14","217.517","4.3936","null",
"497328","null","Demaryius Thomas","WR","DEN","WR","DEN","92.4857","213.803","null","10","7","2","null","6.7048","13.175","6.175","45.3","223.1808","195.72","5.6838","null",
"2533031","null","Andrew Luck","QB","IND","QB","IND","90.3341","415.0091","null","20","8","1","null","26.5386","12.3133","4.3133","37.4","428.6246","395.35","4.8963","null",
"2540269","null","C.J. Anderson","RB","DEN","RB","DEN","89.2051","218.2886","null","9","9","6","null","7.4905","12.915","3.915","46.3","237.71","204.44","5.6591","null",
"497278","null","Dez Bryant","WR","DAL","WR","DAL","88.5977","209.915","null","7","10","3","null","5.9124","11.4017","1.4017","45.5","223.04","191.83","5.5711","null",
"234","null","Matt Forte","RB","CHI","RB","CHI","86.522","215.6055","null","15","11","7","null","10.1717","11.88","0.88","46.8","228.772","205.32","5.9395","null",
"2506363","null","Aaron Rodgers","QB","GB","QB","GB","83.07","407.745","null","23","12","2","null","40.9295","11.8733","-0.1267","42.5","432.61","376.882","5.3643","null",
"2495454","null","Julio Jones","WR","ATL","WR","ATL","82.9642","204.2815","null","11","13","4","null","2.8811","15.6133","2.6133","40.2","229.8735","183.2915","8.7871","null",
"2543496","null","Odell Beckham","WR","NYG","WR","NYG","82.4064","203.7237","null","12","14","5","null","10.5877","14.2217","0.2217","42.3","225.587","188.041","9.2654","null",
"2495647","null","Calvin Johnson","WR","DET","WR","DET","77.7597","199.077","null","14","15","6","null","15.219","16.6183","1.6183","40.4","224.04","185.01","7.4505","null",
"2543603","null","Jeremy Hill","RB","CIN","RB","CIN","76.9072","205.9907","null","13","16","8","null","3.2368","15.3833","-0.6167","38.8","218.263","187.4591","5.0945","null",
"2495207","null","DeMarco Murray","RB","PHI","RB","PHI","75.7934","204.8769","null","16","17","9","null","11.0407","13.6833","-3.3167","46.9","224.27","191.57","6.3634","null",
"497240","null","Rob Gronkowski","TE","NE","TE","NE","73.3239","175.85","null","8","18","1","null","45.0375","13.8083","-4.1917","43.7","205.82","156.67","5.8226","null",
"79607","null","LeSean McCoy","RB","BUF","RB","BUF","71.5472","200.6307","null","17","19","10","null","16.8473","15.8567","-3.1433","45","221.1181","189.033","4.3658","null",
"2495448","null","Randall Cobb","WR","GB","WR","GB","65.8777","187.195","null","19","20","7","null","8.447","23.2067","3.2067","33.2","204.4122","175.33","5.5697","null",
"2495450","null","A.J. Green","WR","CIN","WR","CIN","59.2037","180.521","null","18","21","8","null","5.7973","22.1133","1.1133","37.1","200.9","170.65","7.846","null",
"927","null","Justin Forsett","RB","BAL","RB","BAL","57.9583","187.0418","null","21","22","11","null","8.7969","27.475","5.475","24","200.53","175.36","4.6732","null",
"2533039","null","Alshon Jeffery","WR","CHI","WR","CHI","55.6577","176.975","null","22","23","9","null","6.3887","27.0633","4.0633","32.2","198.0251","160.33","5.5935","null",
"2533034","null","Lamar Miller","RB","MIA","RB","MIA","51.4415","180.525","null","25","24","12","null","5.2801","32.865","8.865","25.5","192.65","160.971","4.1752","null",
"2543468","null","Mike Evans","WR","TB","WR","TB","51.1552","172.4725","null","24","25","10","null","7.1562","29.5233","4.5233","27.8","189.001","162.8186","5.611","null",
"2532865","null","T.Y. Hilton","WR","IND","WR","IND","47.3827","168.7","null","26","26","11","null","9.22","26.505","0.505","31.5","186.1","150","6.3389","null",
"2533457","null","Alfred Morris","RB","WAS","RB","WAS","46.8812","175.9647","null","30","27","13","null","1.7498","35.325","8.325","27.1","187.48","162.169","4.4346","null",
"2495466","null","Mark Ingram","RB","NO","RB","NO","45.4415","174.525","null","28","28","14","null","2.0798","32.7267","4.7267","29","194.7","151.4","5.4024","null",
"2506404","null","Frank Gore","RB","IND","RB","IND","44.8213","173.9048","null","27","29","15","null","3.8796","34.785","5.785","18.9","191.24","159.0003","3.9773","null",
"2501863","null","Peyton Manning","QB","DEN","QB","DEN","44.521","369.196","null","43","30","3","null","9.4398","30.5883","0.5883","23.2","387.14","357.42","3.2049","null",
"2552469","null","Melvin Gordon","RB","SD","RB","SD","41.902","170.9855","null","33","31","16","null","5.1305","34.98","3.98","22.2","185.53","153.273","4.7301","null",
"497322","null","Emmanuel Sanders","WR","DEN","WR","DEN","40.6152","161.9325","null","32","32","12","null","6.795","34.42","2.42","26.9","181.002","144.44","6.7746","null",
"2543743","null","Carlos Hyde","RB","SF","RB","SF","39.9815","169.065","null","39","33","17","null","7.0317","41.8583","8.8583","22.1","196.3","148.4","8.3347","null",
"2532975","null","Russell Wilson","QB","SEA","QB","SEA","39.76","364.435","null","40","34","4","null","16.1333","34.0467","0.0467","22.9","380.924","343.094","4.2666","null",
"497236","null","Jimmy Graham","TE","SEA","TE","SEA","37.5739","140.1","null","34","35","2","null","20.0575","29.5417","-5.4583","26.7","161.36","123.94","6.2778","null",
"2540165","null","DeAndre Hopkins","WR","HOU","WR","HOU","35.7102","157.0275","null","29","36","13","null","3.8246","37.29","1.29","23","178.17","132.59","7.1239","null",
"2541161","null","Latavius Murray","RB","OAK","RB","OAK","33.5615","162.645","null","36","37","18","null","4.5468","43.6983","6.6983","13.9","171.3","158.627","6.0817","null",
"2539217","null","Andre Ellington","RB","ARI","RB","ARI","32.338","161.4215","null","41","38","19","null","7.3356","51.745","13.745","11.4","198.6","142.6","7.7749","null",
"2543498","null","Brandin Cooks","WR","NO","WR","NO","31.9302","153.2475","null","31","39","14","null","4.7659","36.01","-2.99","21.4","171.2875","140.3325","5.2954","null",
