"","x"
"1","124: Toby selected Antonio Gates for 1"
"2","123: Brad selected Rueben Randle for 4"
"3","122: Matt selected Julian Edelman for 9"
"4","121: Billy selected Jeremy Maclin for 10"
"5","120: Keith selected Buffalo Bills for 1"
"6","119: Billy selected Dwayne Bowe for 4"
"7","118: Drew selected Percy Harvin for 23"
"8","117: Drew selected New England Patriots for 1"
"9","116: Milf selected Dan Carpenter for 1"
"10","115: Ross selected Maurice Jones-Drew for 7"
"11","114: Kevin selected Riley Cooper for 4"
"12","113: Toby selected Joe Flacco for 1"
"13","112: Ross selected Mike Wallace for 6"
"14","111: Tony selected Blair Walsh for 1"
"15","110: Ross selected Darren McFadden for 1"
"16","109: Shep selected St. Louis Rams for 2"
"17","108: Billy selected Knowshon Moreno for 2"
"18","107: Tony selected Russell Wilson for 5"
"19","106: Matt selected Anquan Boldin for 3"
"20","105: Keith selected Ben Roethlisberger for 5"
"21","104: Tony selected Shonn Greene for 5"
"22","103: Tony selected Michael Crabtree for 12"
"23","102: Ross selected Cecil Shorts for 4"
"24","101: Billy selected Andy Dalton for 5"
"25","100: James selected Greg Olsen for 7"
"26","99: Kevin selected Fred Jackson for 8"
"27","98: Tony selected Lamar Miller for 6"
"28","97: Ross selected Denver Broncos for 3"
"29","96: Ross selected Emmanuel Sanders for 8"
"30","95: Toby selected Carlos Hyde for 6"
"31","94: Brad selected Jordan Cameron for 6"
"32","93: Milf selected Jason Witten for 8"
"33","92: Milf selected Shane Vereen for 14"
"34","91: Ross selected Kelvin Benjamin for 3"
"35","90: James selected Joique Bell for 13"
"36","89: Kevin selected Philip Rivers for 9"
"37","88: Brad selected Ryan Mathews for 21"
"38","87: Tony selected Cincinnati Bengals for 2"
"39","86: James selected Toby Gerhart for 25"
"40","85: Matt selected Kansas City Chiefs for 4"
"41","84: Ross selected Steven Jackson for 11"
"42","83: Milf selected Cordarrelle Patterson for 13"
"43","82: Milf selected Sammy Watkins for 12"
"44","81: Tony selected Tony Romo for 10"
"45","80: Shep selected Rashad Jennings for 13"
"46","79: James selected Arizona Cardinals for 2"
"47","78: Matt selected Matt Ryan for 12"
"48","77: Toby selected Larry Fitzgerald for 26"
"49","76: Toby selected Tom Brady for 13"
"50","75: Milf selected Torrey Smith for 10"
"51","74: Keith selected Justin Tucker for 1"
"52","73: Tony selected Michael Floyd for 15"
"53","72: Drew selected Ben Tate for 22"
"54","71: Matt selected Wes Welker for 20"
"55","70: Toby selected Trent Richardson for 9"
"56","69: Billy selected Randall Cobb for 26"
"57","68: Kevin selected Stevan Ridley for 9"
"58","67: Drew selected Nick Foles for 10"
"59","66: Kevin selected Nick Novak for 1"
"60","65: Brad selected Antonio Brown for 31"
"61","64: Ross selected Andre Johnson for 21"
"62","63: Billy selected Chris Johnson for 9"
"63","62: Ross selected Kenny Britt for 1"
"64","61: James selected T.Y. Hilton for 13"
"65","60: James selected Andrew Luck for 16"
"66","59: Kevin selected Vernon Davis for 12"
"67","58: Billy selected Dennis Pitta for 5"
"68","57: Shep selected Ray Rice for 16"
"69","56: Brad selected Marques Colston for 7"
"70","55: Toby selected Frank Gore for 21"
"71","54: Toby selected San Francisco 49ers for 3"
"72","53: Milf selected Victor Cruz for 18"
"73","52: Ross selected Colin Kaepernick for 11"
"74","51: James selected Mason Crosby for 2"
"75","50: Toby selected Roddy White for 18"
"76","49: Drew selected Vincent Jackson for 22"
"77","48: Milf selected Matthew Stafford for 23"
"78","47: Matt selected Julius Thomas for 38"
"79","46: Toby selected Kenbrell Thompkins for 2"
"80","45: Toby selected Andre Ellington for 27"
"81","44: Drew selected DeSean Jackson for 16"
"82","43: Billy selected Sidney Rice for 1"
"83","42: Toby selected Adam Vinatieri for 1"
"84","41: Milf selected Pierre Garcon for 21"
"85","40: Toby selected Golden Tate for 10"
"86","39: Tony selected Dez Bryant for 40"
"87","38: Kevin selected Jordy Nelson for 35"
"88","37: Ross selected A.J. Green for 43"
"89","36: James selected Julio Jones for 39"
"90","35: Shep selected Demaryius Thomas for 44"
"91","34: Milf selected Bishop Sankey for 15"
"92","33: Kevin selected C.J. Spiller for 23"
"93","32: Shep selected Alshon Jeffery for 31"
"94","31: Ross selected Jay Cutler for 12"
"95","30: Shep selected Stephen Gostkowski for 2"
"96","29: Milf selected Rob Gronkowski for 26"
"97","28: Matt selected Zac Stacy for 37"
"98","27: Kevin selected Reggie Bush for 30"
"99","26: Keith selected Giovani Bernard for 36"
"100","25: Keith selected Brandon Marshall for 38"
"101","24: Toby selected Montee Ball for 44"
"102","23: Kevin selected Aaron Rodgers for 47"
"103","22: Billy selected Carolina Panthers for 3"
"104","21: Milf selected Keenan Allen for 20"
"105","20: Billy selected Cam Newton for 25"
"106","19: Tony selected Alfred Morris for 34"
"107","18: Drew selected Doug Martin for 38"
"108","17: Keith selected Jimmy Graham for 45"
"109","16: Billy selected Arian Foster for 46"
"110","15: Drew selected DeMarco Murray for 41"
"111","14: Keith selected Marshawn Lynch for 57"
"112","13: Matt selected Matt Forte for 61"
"113","12: Tony selected LeSean McCoy for 62"
"114","11: Billy selected Calvin Johnson for 52"
"115","10: Billy selected Steven Hauschka for 1"
"116","9: Shep selected Drew Brees for 46"
"117","8: Milf selected Seattle Seahawks for 7"
"118","7: Drew selected Le'Veon Bell for 37"
"119","6: Ross selected Matt Prater for 2"
"120","5: Milf selected Robert Griffin III for 10"
"121","4: Brad selected Jamaal Charles for 64"
"122","3: James selected Adrian Peterson for 65"
"123","2: Ross selected Eddie Lacy for 49"
"124","1: Brad selected Peyton Manning for 54"
"125","no players drafted yet"
