"","team","slot","player","position","playerTeam","projPts","bidNum","paid"
"1","Kevin","QB","Drew Brees","NO","QB",355.1,28,22
"2","Kevin","RB1","Lamar Miller","MIA","RB",180.5,58,37
"3","Kevin","RB2","Jonathan Stewart","CAR","RB",154.8,71,19
"4","Kevin","WR1","Calvin Johnson","DET","WR",199.1,27,49
"5","Kevin","WR2","Demaryius Thomas","DEN","WR",213.8,36,53
"6","Kevin","FLEX","","","",0,0,0
"7","Kevin","TE","Dwayne Allen","IND","TE",89.8,80,2
"8","Kevin","DST","","","",0,0,0
"9","Kevin","K","","","",0,0,0
"10","Kevin","BENCH1","","","",0,0,0
"11","Kevin","BENCH2","","","",0,0,0
"12","Kevin","BENCH3","","","",0,0,0
"13","Kevin","BENCH4","","","",0,0,0
"14","Kevin","BENCH5","","","",0,0,0
"15","Kevin","BENCH6","","","",0,0,0
"16","Kevin","BENCH7","","","",0,0,0
"17","Matt","QB","Ben Roethlisberger","PIT","QB",337.2,89,19
"18","Matt","RB1","LeSean McCoy","BUF","RB",200.6,23,42
"19","Matt","RB2","Carlos Hyde","SF","RB",169.1,61,30
"20","Matt","WR1","A.J. Green","CIN","WR",180.5,38,43
"21","Matt","WR2","Randall Cobb","GB","WR",187.2,41,45
"22","Matt","FLEX","Justin Forsett","BAL","RB",187,62,36
"23","Matt","TE","","","",0,0,0
"24","Matt","DST","","","",0,0,0
"25","Matt","K","","","",0,0,0
"26","Matt","BENCH1","Jeremy Maclin","KC","WR",135.3,87,6
"27","Matt","BENCH2","","","",0,0,0
"28","Matt","BENCH3","","","",0,0,0
"29","Matt","BENCH4","","","",0,0,0
"30","Matt","BENCH5","","","",0,0,0
"31","Matt","BENCH6","","","",0,0,0
"32","Matt","BENCH7","","","",0,0,0
"33","Brad","QB","Andrew Luck","IND","QB",415,14,47
"34","Brad","RB1","DeMarco Murray","PHI","RB",204.9,26,55
"35","Brad","RB2","Chris Ivory","NYJ","RB",133.6,95,13
"36","Brad","WR1","Emmanuel Sanders","DEN","WR",161.9,52,32
"37","Brad","WR2","Keenan Allen","SD","WR",139.6,66,16
"38","Brad","FLEX","Andre Johnson","IND","WR",137.3,82,14
"39","Brad","TE","","","",0,0,0
"40","Brad","DST","","","",0,0,0
"41","Brad","K","","","",0,0,0
"42","Brad","BENCH1","Philip Rivers","SD","QB",322.6,19,7
"43","Brad","BENCH2","","","",0,0,0
"44","Brad","BENCH3","","","",0,0,0
"45","Brad","BENCH4","","","",0,0,0
"46","Brad","BENCH5","","","",0,0,0
"47","Brad","BENCH6","","","",0,0,0
"48","Brad","BENCH7","","","",0,0,0
"49","Tony","QB","","","",0,0,0
"50","Tony","RB1","Adrian Peterson","MIN","RB",236.9,3,59
"51","Tony","RB2","Joique Bell","DET","RB",138.3,78,13
"52","Tony","WR1","Alshon Jeffery","CHI","WR",177,44,40
"53","Tony","WR2","Brandon Marshall","NYJ","WR",135.7,86,10
"54","Tony","FLEX","Giovani Bernard","CIN","RB",129.3,83,5
