playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2508061","null","Antonio Brown","WR","PIT","WR","PIT","116.49","241.06","null","1.3","1","1","null","null","25.95","1.5517","-0.5517","62.2","259.958","226.42","8.5634","null",
"2552475","null","Todd Gurley","RB","LA","RB","LA","101.3207","232.224","null","4.6","2","1","null","null","13.3517","4.105","-2.105","55.5","255.763","215.825","8.1525","null",
"2553435","null","David Johnson","RB","ARI","RB","ARI","92.3916","223.295","null","5.9","3","2","null","null","11.4076","6.2917","-3.2917","49.7","239.45","209.123","6.4233","null",
"2543496","null","Odell Beckham","WR","NYG","WR","NYG","90.5925","215.1625","null","2.9","4","2","null","null","11.7475","3.4017","0.5983","58.3","239.2555","201.571","9.5872","null",
"2495454","null","Julio Jones","WR","ATL","WR","ATL","90.4875","215.0575","null","3.3","5","3","null","null","23.53","4.5517","0.4483","57.3","230.283","193.407","9.678","null",
"2507164","null","Adrian Peterson","RB","MIN","RB","MIN","83.5464","214.4498","null","8","6","3","null","null","5.7998","6.925","-0.925","56.1","219.317","208.4","6.4517","null",
"2533034","null","Lamar Miller","RB","HOU","RB","HOU","78.4216","209.325","null","10.5","7","4","null","null","3.1884","13.2","-6.2","42.1","224.77","199.32","6.351","null",
"2555224","null","Ezekiel Elliott","RB","DAL","RB","DAL","77.0716","207.975","null","9.5","8","5","null","null","9.1287","9.0817","-1.0817","52.8","223.99","190.635","6.9503","null",
"925","null","Jamaal Charles","RB","KC","RB","KC","73.3948","204.2982","null","17.3","9","6","null","null","10.9897","18.225","-9.225","36.3","216.732","196.075","7.5537","null",
"2495455","null","Cam Newton","QB","CAR","QB","CAR","68.5382","389.045","null","34.5","10","1","null","null","9.9963","17.8767","-7.8767","31.6","408.7968","372.548","8.3489","null",
"2540165","null","DeAndre Hopkins","WR","HOU","WR","HOU","67.2025","191.7725","null","9","11","4","null","null","4.2525","9.7733","1.2267","51.1","219.02","178.565","8.9122","null",
"497278","null","Dez Bryant","WR","DAL","WR","DAL","66.7125","191.2825","null","10.2","12","5","null","null","8.5225","12.375","-0.375","47.6","214.906","176.89","10.3075","null",
