"","team","slot","player","position","playerTeam","projPts","bidNum","paid"
"1","Kevin","QB","Drew Brees","NO","QB",355.1,28,22
"2","Kevin","RB1","Lamar Miller","MIA","RB",180.5,58,37
"3","Kevin","RB2","Jonathan Stewart","CAR","RB",154.8,71,19
"4","Kevin","WR1","Calvin Johnson","DET","WR",199.1,27,49
"5","Kevin","WR2","Demaryius Thomas","DEN","WR",213.8,36,53
"6","Kevin","FLEX","Roddy White","ATL","WR",122.9,104,4
"7","Kevin","TE","Dwayne Allen","IND","TE",89.8,80,2
"8","Kevin","DST","Eagles","PHI","DST",125.1,140,1
"9","Kevin","K","Dustin Hopkins","NO","K",109.2,139,1
"10","Kevin","BENCH1","Torrey Smith","SF","WR",123.9,115,3
"11","Kevin","BENCH2","Kendall Wright","TEN","WR",112.4,123,4
"12","Kevin","BENCH3","Marvin Jones","CIN","WR",82.6,141,1
"13","Kevin","BENCH4","Chris Johnson","FA","RB",51.1,142,1
"14","Kevin","BENCH5","Tavon Austin","STL","WR",76.9,143,1
"15","Kevin","BENCH6","Kenny Britt","STL","WR",97.4,144,1
"16","Kevin","BENCH7","Doug Baldwin","SEA","WR",105.8,145,1
"17","Matt","QB","Ben Roethlisberger","PIT","QB",337.2,89,19
"18","Matt","RB1","Justin Forsett","BAL","RB",187,94,36
"19","Matt","RB2","Carlos Hyde","SF","RB",169.1,61,30
"20","Matt","WR1","A.J. Green","CIN","WR",180.5,38,43
"21","Matt","WR2","Randall Cobb","GB","WR",187.2,41,45
"22","Matt","FLEX","Jeremy Maclin","KC","WR",135.3,95,6
"23","Matt","TE","Delanie Walker","TEN","TE",95.3,118,1
"24","Matt","DST","Dolphins","MIA","DST",111.7,150,2
"25","Matt","K","Mason Crosby","GB","K",132.8,151,1
"26","Matt","BENCH1","Devonta Freeman","ATL","RB",122.2,119,7
"27","Matt","BENCH2","Brandon Coleman","NO","WR",73.7,152,1
"28","Matt","BENCH3","Ronnie Hillman","DEN","RB",54.1,153,2
"29","Matt","BENCH4","DeAngelo Williams","PIT","RB",56.4,154,2
"30","Matt","BENCH5","Jonas Gray","NE","RB",64,155,1
"31","Matt","BENCH6","Montee Ball","DEN","RB",62.1,156,2
"32","Matt","BENCH7","DeVante Parker","MIA","WR",92.6,157,1
"33","Brad","QB","Andrew Luck","IND","QB",415,14,47
"34","Brad","RB1","DeMarco Murray","PHI","RB",204.9,26,55
"35","Brad","RB2","Chris Ivory","NYJ","RB",133.6,101,13
"36","Brad","WR1","Emmanuel Sanders","DEN","WR",161.9,52,32
"37","Brad","WR2","Keenan Allen","SD","WR",139.6,66,16
"38","Brad","FLEX","Andre Johnson","IND","WR",137.3,82,14
"39","Brad","TE","Jordan Reed","WAS","TE",84,134,1
"40","Brad","DST","Ravens","BAL","DST",112,146,1
"41","Brad","K","Caleb Sturgis","MIA","K",118.2,147,1
"42","Brad","BENCH1","Philip Rivers","SD","QB",322.6,19,7
"43","Brad","BENCH2","Lorenzo Taliaferro","BAL","RB",66.2,135,3
